"STATISTIC Label","Month","Taxation Class","UNIT","VALUE"
"Vehicles Licensed for the First Time","2009 October","New Private Cars","Number","1596"
"Vehicles Licensed for the First Time","2009 October","New Goods Vehicles","Number","803"
"Vehicles Licensed for the First Time","2009 October","New Tractors","Number","96"
"Vehicles Licensed for the First Time","2009 October","New Motor Cycles","Number","91"
"Vehicles Licensed for the First Time","2009 October","New Exempt Vehicles","Number","166"
"Vehicles Licensed for the First Time","2009 October","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","38"
"Vehicles Licensed for the First Time","2009 October","Secondhand Vehicles","Number","5248"
"Vehicles Licensed for the First Time","2009 October","Secondhand Private Cars","Number","3276"
"Vehicles Licensed for the First Time","2009 October","Secondhand Goods Vehicles","Number","1026"
"Vehicles Licensed for the First Time","2009 October","Secondhand Tractors","Number","223"
"Vehicles Licensed for the First Time","2009 October","Secondhand Other Vehicles","Number","446"
"Vehicles Licensed for the First Time","2009 October","Secondhand Motor Cycles","Number","277"
"Vehicles Licensed for the First Time","2009 November","All Vehicles","Number","6302"
"Vehicles Licensed for the First Time","2009 November","New Vehicles","Number","1674"
"Vehicles Licensed for the First Time","2009 November","New Private Cars","Number","948"
"Vehicles Licensed for the First Time","2009 November","New Goods Vehicles","Number","476"
"Vehicles Licensed for the First Time","2009 November","New Tractors","Number","61"
"Vehicles Licensed for the First Time","2009 November","New Motor Cycles","Number","67"
"Vehicles Licensed for the First Time","2009 November","New Exempt Vehicles","Number","92"
"Vehicles Licensed for the First Time","2009 November","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","30"
"Vehicles Licensed for the First Time","2009 November","Secondhand Vehicles","Number","4628"
"Vehicles Licensed for the First Time","2009 November","Secondhand Private Cars","Number","3013"
"Vehicles Licensed for the First Time","2009 November","Secondhand Goods Vehicles","Number","950"
"Vehicles Licensed for the First Time","2009 November","Secondhand Tractors","Number","167"
"Vehicles Licensed for the First Time","2009 November","Secondhand Other Vehicles","Number","332"
"Vehicles Licensed for the First Time","2009 November","Secondhand Motor Cycles","Number","166"
"Vehicles Licensed for the First Time","2009 December","All Vehicles","Number","4610"
"Vehicles Licensed for the First Time","2009 December","New Vehicles","Number","871"
"Vehicles Licensed for the First Time","2009 December","New Private Cars","Number","474"
"Vehicles Licensed for the First Time","2009 December","New Goods Vehicles","Number","251"
"Vehicles Licensed for the First Time","2009 December","New Tractors","Number","42"
"Vehicles Licensed for the First Time","2009 December","New Motor Cycles","Number","38"
"Vehicles Licensed for the First Time","2009 December","New Exempt Vehicles","Number","49"
"Vehicles Licensed for the First Time","2009 December","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","17"
"Vehicles Licensed for the First Time","2009 December","Secondhand Vehicles","Number","3739"
"Vehicles Licensed for the First Time","2009 December","Secondhand Private Cars","Number","2405"
"Vehicles Licensed for the First Time","2009 December","Secondhand Goods Vehicles","Number","734"
"Vehicles Licensed for the First Time","2009 December","Secondhand Tractors","Number","173"
"Vehicles Licensed for the First Time","2009 December","Secondhand Other Vehicles","Number","322"
"Vehicles Licensed for the First Time","2009 December","Secondhand Motor Cycles","Number","105"
"Vehicles Licensed for the First Time","2010 January","All Vehicles","Number","15595"
"Vehicles Licensed for the First Time","2010 January","New Vehicles","Number","12062"
"Vehicles Licensed for the First Time","2010 January","New Private Cars","Number","10469"
"Vehicles Licensed for the First Time","2010 January","New Goods Vehicles","Number","1016"
"Vehicles Licensed for the First Time","2010 January","New Tractors","Number","96"
"Vehicles Licensed for the First Time","2010 January","New Motor Cycles","Number","77"
"Vehicles Licensed for the First Time","2010 January","New Exempt Vehicles","Number","352"
"Vehicles Licensed for the First Time","2010 January","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","52"
"Vehicles Licensed for the First Time","2010 January","Secondhand Vehicles","Number","3533"
"Vehicles Licensed for the First Time","2010 January","Secondhand Private Cars","Number","2462"
"Vehicles Licensed for the First Time","2010 January","Secondhand Goods Vehicles","Number","605"
"Vehicles Licensed for the First Time","2010 January","Secondhand Tractors","Number","139"
"Vehicles Licensed for the First Time","2010 January","Secondhand Other Vehicles","Number","220"
"Vehicles Licensed for the First Time","2010 January","Secondhand Motor Cycles","Number","107"
"Vehicles Licensed for the First Time","2010 February","All Vehicles","Number","19496"
"Vehicles Licensed for the First Time","2010 February","New Vehicles","Number","14061"
"Vehicles Licensed for the First Time","2010 February","New Private Cars","Number","11707"
"Vehicles Licensed for the First Time","2010 February","New Goods Vehicles","Number","1494"
"Vehicles Licensed for the First Time","2010 February","New Tractors","Number","142"
"Vehicles Licensed for the First Time","2010 February","New Motor Cycles","Number","111"
"Vehicles Licensed for the First Time","2010 February","New Exempt Vehicles","Number","520"
"Vehicles Licensed for the First Time","2010 February","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","87"
"Vehicles Licensed for the First Time","2010 February","Secondhand Vehicles","Number","5435"
"Vehicles Licensed for the First Time","2010 February","Secondhand Private Cars","Number","3827"
"Vehicles Licensed for the First Time","2010 February","Secondhand Goods Vehicles","Number","839"
"Vehicles Licensed for the First Time","2010 February","Secondhand Tractors","Number","192"
"Vehicles Licensed for the First Time","2010 February","Secondhand Other Vehicles","Number","374"
"Vehicles Licensed for the First Time","2010 February","Secondhand Motor Cycles","Number","203"
"Vehicles Licensed for the First Time","2010 March","All Vehicles","Number","20711"
"Vehicles Licensed for the First Time","2010 March","New Vehicles","Number","14665"
"Vehicles Licensed for the First Time","2010 March","New Private Cars","Number","12379"
"Vehicles Licensed for the First Time","2010 March","New Goods Vehicles","Number","1331"
"Vehicles Licensed for the First Time","2010 March","New Tractors","Number","154"
"Vehicles Licensed for the First Time","2010 March","New Motor Cycles","Number","167"
"Vehicles Licensed for the First Time","2010 March","New Exempt Vehicles","Number","538"
"Vehicles Licensed for the First Time","2010 March","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","96"
"Vehicles Licensed for the First Time","2010 March","Secondhand Vehicles","Number","6046"
"Vehicles Licensed for the First Time","2010 March","Secondhand Private Cars","Number","4109"
"Vehicles Licensed for the First Time","2010 March","Secondhand Goods Vehicles","Number","955"
"Vehicles Licensed for the First Time","2010 March","Secondhand Tractors","Number","210"
"Vehicles Licensed for the First Time","2010 March","Secondhand Other Vehicles","Number","474"
"Vehicles Licensed for the First Time","2010 March","Secondhand Motor Cycles","Number","298"
"Vehicles Licensed for the First Time","2010 April","All Vehicles","Number","17506"
"Vehicles Licensed for the First Time","2010 April","New Vehicles","Number","11556"
"Vehicles Licensed for the First Time","2010 April","New Private Cars","Number","9599"
"Vehicles Licensed for the First Time","2010 April","New Goods Vehicles","Number","1070"
"Vehicles Licensed for the First Time","2010 April","New Tractors","Number","117"
"Vehicles Licensed for the First Time","2010 April","New Motor Cycles","Number","156"
"Vehicles Licensed for the First Time","2010 April","New Exempt Vehicles","Number","525"
"Vehicles Licensed for the First Time","2010 April","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","89"
"Vehicles Licensed for the First Time","2010 April","Secondhand Vehicles","Number","5950"
"Vehicles Licensed for the First Time","2010 April","Secondhand Private Cars","Number","4032"
"Vehicles Licensed for the First Time","2010 April","Secondhand Goods Vehicles","Number","833"
"Vehicles Licensed for the First Time","2010 April","Secondhand Tractors","Number","182"
"Vehicles Licensed for the First Time","2010 April","Secondhand Other Vehicles","Number","513"
"Vehicles Licensed for the First Time","2010 April","Secondhand Motor Cycles","Number","390"
"Vehicles Licensed for the First Time","2010 May","All Vehicles","Number","16173"
"Vehicles Licensed for the First Time","2010 May","New Vehicles","Number","10614"
"Vehicles Licensed for the First Time","2010 May","New Private Cars","Number","8893"
"Vehicles Licensed for the First Time","2010 May","New Goods Vehicles","Number","916"
"Vehicles Licensed for the First Time","2010 May","New Tractors","Number","125"
"Vehicles Licensed for the First Time","2010 May","New Motor Cycles","Number","144"
"Vehicles Licensed for the First Time","2010 May","New Exempt Vehicles","Number","452"
"Vehicles Licensed for the First Time","2010 May","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","84"
"Vehicles Licensed for the First Time","2010 May","Secondhand Vehicles","Number","5559"
"Vehicles Licensed for the First Time","2010 May","Secondhand Private Cars","Number","3683"
"Vehicles Licensed for the First Time","2010 May","Secondhand Goods Vehicles","Number","785"
"Vehicles Licensed for the First Time","2010 May","Secondhand Tractors","Number","211"
"Vehicles Licensed for the First Time","2010 May","Secondhand Other Vehicles","Number","482"
"Vehicles Licensed for the First Time","2010 May","Secondhand Motor Cycles","Number","398"
"Vehicles Licensed for the First Time","2010 June","All Vehicles","Number","15660"
"Vehicles Licensed for the First Time","2010 June","New Vehicles","Number","10007"
"Vehicles Licensed for the First Time","2010 June","New Private Cars","Number","8314"
"Vehicles Licensed for the First Time","2010 June","New Goods Vehicles","Number","838"
"Vehicles Licensed for the First Time","2010 June","New Tractors","Number","160"
"Vehicles Licensed for the First Time","2010 June","New Motor Cycles","Number","156"
"Vehicles Licensed for the First Time","2010 June","New Exempt Vehicles","Number","456"
"Vehicles Licensed for the First Time","2010 June","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","83"
"Vehicles Licensed for the First Time","2010 June","Secondhand Vehicles","Number","5653"
"Vehicles Licensed for the First Time","2010 June","Secondhand Private Cars","Number","3599"
"Vehicles Licensed for the First Time","2010 June","Secondhand Goods Vehicles","Number","849"
"Vehicles Licensed for the First Time","2010 June","Secondhand Tractors","Number","270"
"Vehicles Licensed for the First Time","2010 June","Secondhand Other Vehicles","Number","533"
"Vehicles Licensed for the First Time","2010 June","Secondhand Motor Cycles","Number","402"
"Vehicles Licensed for the First Time","2010 July","All Vehicles","Number","13928"
"Vehicles Licensed for the First Time","2010 July","New Vehicles","Number","8648"
"Vehicles Licensed for the First Time","2010 July","New Private Cars","Number","7018"
"Vehicles Licensed for the First Time","2010 July","New Goods Vehicles","Number","871"
"Vehicles Licensed for the First Time","2010 July","New Tractors","Number","143"
"Vehicles Licensed for the First Time","2010 July","New Motor Cycles","Number","111"
"Vehicles Licensed for the First Time","2010 July","New Exempt Vehicles","Number","436"
"Vehicles Licensed for the First Time","2010 July","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","69"
"Vehicles Licensed for the First Time","2010 July","Secondhand Vehicles","Number","5280"
"Vehicles Licensed for the First Time","2010 July","Secondhand Private Cars","Number","3382"
"Vehicles Licensed for the First Time","2010 July","Secondhand Goods Vehicles","Number","796"
"Vehicles Licensed for the First Time","2010 July","Secondhand Tractors","Number","212"
"Vehicles Licensed for the First Time","2010 July","Secondhand Other Vehicles","Number","537"
"Vehicles Licensed for the First Time","2010 July","Secondhand Motor Cycles","Number","353"
"Vehicles Licensed for the First Time","2010 August","All Vehicles","Number","11753"
"Vehicles Licensed for the First Time","2010 August","New Vehicles","Number","6927"
"Vehicles Licensed for the First Time","2010 August","New Private Cars","Number","5310"
"Vehicles Licensed for the First Time","2010 August","New Goods Vehicles","Number","926"
"Vehicles Licensed for the First Time","2010 August","New Tractors","Number","144"
"Vehicles Licensed for the First Time","2010 August","New Motor Cycles","Number","126"
"Vehicles Licensed for the First Time","2010 August","New Exempt Vehicles","Number","351"
"Vehicles Licensed for the First Time","2010 August","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","70"
"Vehicles Licensed for the First Time","2010 August","Secondhand Vehicles","Number","4826"
"Vehicles Licensed for the First Time","2010 August","Secondhand Private Cars","Number","3286"
"Vehicles Licensed for the First Time","2010 August","Secondhand Goods Vehicles","Number","632"
"Vehicles Licensed for the First Time","2010 August","Secondhand Tractors","Number","174"
"Vehicles Licensed for the First Time","2010 August","Secondhand Other Vehicles","Number","449"
"Vehicles Licensed for the First Time","2010 August","Secondhand Motor Cycles","Number","285"
"Vehicles Licensed for the First Time","2010 September","All Vehicles","Number","10135"
"Vehicles Licensed for the First Time","2010 September","New Vehicles","Number","5802"
"Vehicles Licensed for the First Time","2010 September","New Private Cars","Number","4683"
"Vehicles Licensed for the First Time","2010 September","New Goods Vehicles","Number","671"
"Vehicles Licensed for the First Time","2010 September","New Tractors","Number","109"
"Vehicles Licensed for the First Time","2010 September","New Motor Cycles","Number","108"
"Vehicles Licensed for the First Time","2010 September","New Exempt Vehicles","Number","173"
"Vehicles Licensed for the First Time","2010 September","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","58"
"Vehicles Licensed for the First Time","2010 September","Secondhand Vehicles","Number","4333"
"Vehicles Licensed for the First Time","2010 September","Secondhand Private Cars","Number","2946"
"Vehicles Licensed for the First Time","2010 September","Secondhand Goods Vehicles","Number","567"
"Vehicles Licensed for the First Time","2010 September","Secondhand Tractors","Number","157"
"Vehicles Licensed for the First Time","2010 September","Secondhand Other Vehicles","Number","464"
"Vehicles Licensed for the First Time","2010 September","Secondhand Motor Cycles","Number","199"
"Vehicles Licensed for the First Time","2010 October","All Vehicles","Number","8698"
"Vehicles Licensed for the First Time","2010 October","New Vehicles","Number","4838"
"Vehicles Licensed for the First Time","2010 October","New Private Cars","Number","3742"
"Vehicles Licensed for the First Time","2010 October","New Goods Vehicles","Number","711"
"Vehicles Licensed for the First Time","2010 October","New Tractors","Number","68"
"Vehicles Licensed for the First Time","2010 October","New Motor Cycles","Number","81"
"Vehicles Licensed for the First Time","2010 October","New Exempt Vehicles","Number","200"
"Vehicles Licensed for the First Time","2010 October","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","36"
"Vehicles Licensed for the First Time","2010 October","Secondhand Vehicles","Number","3860"
"Vehicles Licensed for the First Time","2010 October","Secondhand Private Cars","Number","2744"
"Vehicles Licensed for the First Time","2010 October","Secondhand Goods Vehicles","Number","517"
"Vehicles Licensed for the First Time","2010 October","Secondhand Tractors","Number","140"
"Vehicles Licensed for the First Time","2010 October","Secondhand Other Vehicles","Number","303"
"Vehicles Licensed for the First Time","2010 October","Secondhand Motor Cycles","Number","156"
"Vehicles Licensed for the First Time","2010 November","All Vehicles","Number","7148"
"Vehicles Licensed for the First Time","2010 November","New Vehicles","Number","2888"
"Vehicles Licensed for the First Time","2010 November","New Private Cars","Number","2146"
"Vehicles Licensed for the First Time","2010 November","New Goods Vehicles","Number","428"
"Vehicles Licensed for the First Time","2010 November","New Tractors","Number","69"
"Vehicles Licensed for the First Time","2010 November","New Motor Cycles","Number","69"
"Vehicles Licensed for the First Time","2010 November","New Exempt Vehicles","Number","142"
"Vehicles Licensed for the First Time","2010 November","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","34"
"Vehicles Licensed for the First Time","2010 November","Secondhand Vehicles","Number","4260"
"Vehicles Licensed for the First Time","2010 November","Secondhand Private Cars","Number","3085"
"Vehicles Licensed for the First Time","2010 November","Secondhand Goods Vehicles","Number","529"
"Vehicles Licensed for the First Time","2010 November","Secondhand Tractors","Number","174"
"Vehicles Licensed for the First Time","2010 November","Secondhand Other Vehicles","Number","358"
"Vehicles Licensed for the First Time","2010 November","Secondhand Motor Cycles","Number","114"
"Vehicles Licensed for the First Time","2010 December","All Vehicles","Number","3615"
"Vehicles Licensed for the First Time","2010 December","New Vehicles","Number","1008"
"Vehicles Licensed for the First Time","2010 December","New Private Cars","Number","647"
"Vehicles Licensed for the First Time","2010 December","New Goods Vehicles","Number","238"
"Vehicles Licensed for the First Time","2010 December","New Tractors","Number","32"
"Vehicles Licensed for the First Time","2010 December","New Motor Cycles","Number","15"
"Vehicles Licensed for the First Time","2010 December","New Exempt Vehicles","Number","62"
"Vehicles Licensed for the First Time","2010 December","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","14"
"Vehicles Licensed for the First Time","2010 December","Secondhand Vehicles","Number","2607"
"Vehicles Licensed for the First Time","2010 December","Secondhand Private Cars","Number","1948"
"Vehicles Licensed for the First Time","2010 December","Secondhand Goods Vehicles","Number","300"
"Vehicles Licensed for the First Time","2010 December","Secondhand Tractors","Number","133"
"Vehicles Licensed for the First Time","2010 December","Secondhand Other Vehicles","Number","186"
"Vehicles Licensed for the First Time","2010 December","Secondhand Motor Cycles","Number","40"
"Vehicles Licensed for the First Time","2011 January","All Vehicles","Number","18701"
"Vehicles Licensed for the First Time","2011 January","New Vehicles","Number","15176"
"Vehicles Licensed for the First Time","2011 January","New Private Cars","Number","13624"
"Vehicles Licensed for the First Time","2011 January","New Goods Vehicles","Number","969"
"Vehicles Licensed for the First Time","2011 January","New Tractors","Number","94"
"Vehicles Licensed for the First Time","2011 January","New Motor Cycles","Number","111"
"Vehicles Licensed for the First Time","2011 January","New Exempt Vehicles","Number","290"
"Vehicles Licensed for the First Time","2011 January","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","88"
"Vehicles Licensed for the First Time","2011 January","Secondhand Vehicles","Number","3525"
"Vehicles Licensed for the First Time","2011 January","Secondhand Private Cars","Number","2565"
"Vehicles Licensed for the First Time","2011 January","Secondhand Goods Vehicles","Number","429"
"Vehicles Licensed for the First Time","2011 January","Secondhand Tractors","Number","172"
"Vehicles Licensed for the First Time","2011 January","Secondhand Other Vehicles","Number","266"
"Vehicles Licensed for the First Time","2011 January","Secondhand Motor Cycles","Number","93"
"Vehicles Licensed for the First Time","2011 February","All Vehicles","Number","20117"
"Vehicles Licensed for the First Time","2011 February","New Vehicles","Number","15696"
"Vehicles Licensed for the First Time","2011 February","New Private Cars","Number","13470"
"Vehicles Licensed for the First Time","2011 February","New Goods Vehicles","Number","1349"
"Vehicles Licensed for the First Time","2011 February","New Tractors","Number","170"
"Vehicles Licensed for the First Time","2011 February","New Motor Cycles","Number","78"
"Vehicles Licensed for the First Time","2011 February","New Exempt Vehicles","Number","536"
"Vehicles Licensed for the First Time","2011 February","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","93"
"Vehicles Licensed for the First Time","2011 February","Secondhand Vehicles","Number","4421"
"Vehicles Licensed for the First Time","2011 February","Secondhand Private Cars","Number","3312"
"Vehicles Licensed for the First Time","2011 February","Secondhand Goods Vehicles","Number","510"
"Vehicles Licensed for the First Time","2011 February","Secondhand Tractors","Number","169"
"Vehicles Licensed for the First Time","2011 February","Secondhand Other Vehicles","Number","284"
"Vehicles Licensed for the First Time","2011 February","Secondhand Motor Cycles","Number","146"
"Vehicles Licensed for the First Time","2011 March","All Vehicles","Number","19307"
"Vehicles Licensed for the First Time","2011 March","New Vehicles","Number","14483"
"Vehicles Licensed for the First Time","2011 March","New Private Cars","Number","12390"
"Vehicles Licensed for the First Time","2011 March","New Goods Vehicles","Number","1179"
"Vehicles Licensed for the First Time","2011 March","New Tractors","Number","173"
"Vehicles Licensed for the First Time","2011 March","New Motor Cycles","Number","140"
"Vehicles Licensed for the First Time","2011 March","New Exempt Vehicles","Number","518"
"Vehicles Licensed for the First Time","2011 March","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","83"
"Vehicles Licensed for the First Time","2011 March","Secondhand Vehicles","Number","4824"
"Vehicles Licensed for the First Time","2011 March","Secondhand Private Cars","Number","3503"
"Vehicles Licensed for the First Time","2011 March","Secondhand Goods Vehicles","Number","466"
"Vehicles Licensed for the First Time","2011 March","Secondhand Tractors","Number","240"
"Vehicles Licensed for the First Time","2011 March","Secondhand Other Vehicles","Number","414"
"Vehicles Licensed for the First Time","2011 March","Secondhand Motor Cycles","Number","201"
"Vehicles Licensed for the First Time","2011 April","All Vehicles","Number","18321"
"Vehicles Licensed for the First Time","2011 April","New Vehicles","Number","13246"
"Vehicles Licensed for the First Time","2011 April","New Private Cars","Number","11171"
"Vehicles Licensed for the First Time","2011 April","New Goods Vehicles","Number","1219"
"Vehicles Licensed for the First Time","2011 April","New Tractors","Number","152"
"Vehicles Licensed for the First Time","2011 April","New Motor Cycles","Number","117"
"Vehicles Licensed for the First Time","2011 April","New Exempt Vehicles","Number","506"
"Vehicles Licensed for the First Time","2011 April","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","81"
"Vehicles Licensed for the First Time","2011 April","Secondhand Vehicles","Number","5075"
"Vehicles Licensed for the First Time","2011 April","Secondhand Private Cars","Number","3677"
"Vehicles Licensed for the First Time","2011 April","Secondhand Goods Vehicles","Number","459"
"Vehicles Licensed for the First Time","2011 April","Secondhand Tractors","Number","267"
"Vehicles Licensed for the First Time","2011 April","Secondhand Other Vehicles","Number","403"
"Vehicles Licensed for the First Time","2011 April","Secondhand Motor Cycles","Number","269"
"Vehicles Licensed for the First Time","2011 May","All Vehicles","Number","16185"
"Vehicles Licensed for the First Time","2011 May","New Vehicles","Number","11418"
"Vehicles Licensed for the First Time","2011 May","New Private Cars","Number","9359"
"Vehicles Licensed for the First Time","2011 May","New Goods Vehicles","Number","1190"
"Vehicles Licensed for the First Time","2011 May","New Tractors","Number","219"
"Vehicles Licensed for the First Time","2011 May","New Motor Cycles","Number","132"
"Vehicles Licensed for the First Time","2011 May","New Exempt Vehicles","Number","430"
"Vehicles Licensed for the First Time","2011 May","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","88"
"Vehicles Licensed for the First Time","2011 May","Secondhand Vehicles","Number","4767"
"Vehicles Licensed for the First Time","2011 May","Secondhand Private Cars","Number","3415"
"Vehicles Licensed for the First Time","2011 May","Secondhand Goods Vehicles","Number","470"
"Vehicles Licensed for the First Time","2011 May","Secondhand Tractors","Number","285"
"Vehicles Licensed for the First Time","2011 May","Secondhand Other Vehicles","Number","341"
"Vehicles Licensed for the First Time","2011 May","Secondhand Motor Cycles","Number","256"
"Vehicles Licensed for the First Time","2011 June","All Vehicles","Number","15936"
"Vehicles Licensed for the First Time","2011 June","New Vehicles","Number","10981"
"Vehicles Licensed for the First Time","2011 June","New Private Cars","Number","9240"
"Vehicles Licensed for the First Time","2011 June","New Goods Vehicles","Number","964"
"Vehicles Licensed for the First Time","2011 June","New Tractors","Number","204"
"Vehicles Licensed for the First Time","2011 June","New Motor Cycles","Number","99"
"Vehicles Licensed for the First Time","2011 June","New Exempt Vehicles","Number","396"
"Vehicles Licensed for the First Time","2011 June","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","78"
"Vehicles Licensed for the First Time","2011 June","Secondhand Vehicles","Number","4955"
"Vehicles Licensed for the First Time","2011 June","Secondhand Private Cars","Number","3563"
"Vehicles Licensed for the First Time","2011 June","Secondhand Goods Vehicles","Number","446"
"Vehicles Licensed for the First Time","2011 June","Secondhand Tractors","Number","276"
"Vehicles Licensed for the First Time","2011 June","Secondhand Other Vehicles","Number","413"
"Vehicles Licensed for the First Time","2011 June","Secondhand Motor Cycles","Number","257"
"Vehicles Licensed for the First Time","2011 July","All Vehicles","Number","13496"
"Vehicles Licensed for the First Time","2011 July","New Vehicles","Number","8600"
"Vehicles Licensed for the First Time","2011 July","New Private Cars","Number","6953"
"Vehicles Licensed for the First Time","2011 July","New Goods Vehicles","Number","895"
"Vehicles Licensed for the First Time","2011 July","New Tractors","Number","179"
"Vehicles Licensed for the First Time","2011 July","New Motor Cycles","Number","107"
"Vehicles Licensed for the First Time","2011 July","New Exempt Vehicles","Number","384"
"Vehicles Licensed for the First Time","2011 July","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","82"
"Vehicles Licensed for the First Time","2011 July","Secondhand Vehicles","Number","4896"
"Vehicles Licensed for the First Time","2011 July","Secondhand Private Cars","Number","3594"
"Vehicles Licensed for the First Time","2011 July","Secondhand Goods Vehicles","Number","423"
"Vehicles Licensed for the First Time","2011 July","Secondhand Tractors","Number","229"
"Vehicles Licensed for the First Time","2011 July","Secondhand Other Vehicles","Number","417"
"Vehicles Licensed for the First Time","2011 July","Secondhand Motor Cycles","Number","233"
"Vehicles Licensed for the First Time","2011 August","All Vehicles","Number","10077"
"Vehicles Licensed for the First Time","2011 August","New Vehicles","Number","5275"
"Vehicles Licensed for the First Time","2011 August","New Private Cars","Number","3653"
"Vehicles Licensed for the First Time","2011 August","New Goods Vehicles","Number","968"
"Vehicles Licensed for the First Time","2011 August","New Tractors","Number","143"
"Vehicles Licensed for the First Time","2011 August","New Motor Cycles","Number","106"
"Vehicles Licensed for the First Time","2011 August","New Exempt Vehicles","Number","356"
"Vehicles Licensed for the First Time","2011 August","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","49"
"Vehicles Licensed for the First Time","2011 August","Secondhand Vehicles","Number","4802"
"Vehicles Licensed for the First Time","2011 August","Secondhand Private Cars","Number","3729"
"Vehicles Licensed for the First Time","2011 August","Secondhand Goods Vehicles","Number","360"
"Vehicles Licensed for the First Time","2011 August","Secondhand Tractors","Number","199"
"Vehicles Licensed for the First Time","2011 August","Secondhand Other Vehicles","Number","343"
"Vehicles Licensed for the First Time","2011 August","Secondhand Motor Cycles","Number","171"
"Vehicles Licensed for the First Time","2011 September","All Vehicles","Number","9034"
"Vehicles Licensed for the First Time","2011 September","New Vehicles","Number","4272"
"Vehicles Licensed for the First Time","2011 September","New Private Cars","Number","2861"
"Vehicles Licensed for the First Time","2011 September","New Goods Vehicles","Number","894"
"Vehicles Licensed for the First Time","2011 September","New Tractors","Number","121"
"Vehicles Licensed for the First Time","2011 September","New Motor Cycles","Number","83"
"Vehicles Licensed for the First Time","2011 September","New Exempt Vehicles","Number","260"
"Vehicles Licensed for the First Time","2011 September","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","53"
"Vehicles Licensed for the First Time","2011 September","Secondhand Vehicles","Number","4762"
"Vehicles Licensed for the First Time","2011 September","Secondhand Private Cars","Number","3663"
"Vehicles Licensed for the First Time","2011 September","Secondhand Goods Vehicles","Number","384"
"Vehicles Licensed for the First Time","2011 September","Secondhand Tractors","Number","206"
"Vehicles Licensed for the First Time","2011 September","Secondhand Other Vehicles","Number","356"
"Vehicles Licensed for the First Time","2011 September","Secondhand Motor Cycles","Number","153"
"Vehicles Licensed for the First Time","2011 October","All Vehicles","Number","7678"
"Vehicles Licensed for the First Time","2011 October","New Vehicles","Number","3236"
"Vehicles Licensed for the First Time","2011 October","New Private Cars","Number","2216"
"Vehicles Licensed for the First Time","2011 October","New Goods Vehicles","Number","645"
"Vehicles Licensed for the First Time","2011 October","New Tractors","Number","97"
"Vehicles Licensed for the First Time","2011 October","New Motor Cycles","Number","61"
"Vehicles Licensed for the First Time","2011 October","New Exempt Vehicles","Number","173"
"Vehicles Licensed for the First Time","2011 October","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","44"
"Vehicles Licensed for the First Time","2011 October","Secondhand Vehicles","Number","4442"
"Vehicles Licensed for the First Time","2011 October","Secondhand Private Cars","Number","3492"
"Vehicles Licensed for the First Time","2011 October","Secondhand Goods Vehicles","Number","403"
"Vehicles Licensed for the First Time","2011 October","Secondhand Tractors","Number","149"
"Vehicles Licensed for the First Time","2011 October","Secondhand Other Vehicles","Number","267"
"Vehicles Licensed for the First Time","2011 October","Secondhand Motor Cycles","Number","131"
"Vehicles Licensed for the First Time","2011 November","All Vehicles","Number","6872"
"Vehicles Licensed for the First Time","2011 November","New Vehicles","Number","2311"
"Vehicles Licensed for the First Time","2011 November","New Private Cars","Number","1398"
"Vehicles Licensed for the First Time","2011 November","New Goods Vehicles","Number","624"
"Vehicles Licensed for the First Time","2011 November","New Tractors","Number","103"
"Vehicles Licensed for the First Time","2011 November","New Motor Cycles","Number","40"
"Vehicles Licensed for the First Time","2011 November","New Exempt Vehicles","Number","114"
"Vehicles Licensed for the First Time","2011 November","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","32"
"Vehicles Licensed for the First Time","2011 November","Secondhand Vehicles","Number","4561"
"Vehicles Licensed for the First Time","2011 November","Secondhand Private Cars","Number","3525"
"Vehicles Licensed for the First Time","2011 November","Secondhand Goods Vehicles","Number","476"
